Hour,Month,Year,El_price_DAM_RON,El_price_DAM_EUR,Quantity,Data,ROBOR 3M,Gas_quantity_DAM,Gas_price_DAM_RON,Gas_price_DAM_EUR,Oil_price,Inflation_RO,Inflation_EU
1,1,2019,279,58.125,2498.3,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
2,1,2019,245.54,51.15416667,2239.8,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
3,1,2019,169.98,35.4125,2092,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
4,1,2019,145.52,30.31666667,2086.3,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
5,1,2019,121,25.20833333,2109.7,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
6,1,2019,124.33,25.90208333,2008,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
7,1,2019,130.37,27.16041667,2019.2,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
8,1,2019,132.69,27.64375,2123.8,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
9,1,2019,158.28,32.975,2129,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
10,1,2019,192.12,40.025,2058,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
11,1,2019,190.96,39.78333333,2049.3,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
12,1,2019,210.36,43.825,2044.4,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
13,1,2019,205.27,42.76458333,2078.2,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
14,1,2019,191.75,39.94791667,2066.1,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
15,1,2019,199.5,41.5625,2071.8,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
16,1,2019,255.79,53.28958333,2289.8,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
17,1,2019,335.46,69.8875,2749.1,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
18,1,2019,343.78,71.62083333,2867.7,1/1/2019,2.99,10080000,0.1385,0.028854167,54.06,4.19,1.4
